"row_key","row_index","label","start","end","duration","color_rgba"
"Traveller_001","0","Travelling","84.2561","inf","inf","3498dbff"
"Traveller_002","1","Travelling","99.2561","inf","inf","3498dbff"
"Traveller_003","2","Travelling","115.9227","169.2927","53.3699","3498dbff"
"Traveller_004","3","Travelling","132.5894","182.743","50.1536","3498dbff"
"Traveller_005","4","Travelling","147.5894","inf","inf","3498dbff"
"Traveller_006","5","Travelling","160.9227","inf","inf","3498dbff"
"Traveller_003","2","Waiting","169.2927","169.2927","0.0","2ecc71ff"
"Traveller_003","2","Attraction3","169.2927","289.4096","120.117","f39c12ff"
"Traveller_007","6","Travelling","174.2927","224.4096","50.117","3498dbff"
"Traveller_004","3","Waiting","182.743","182.743","0.0","2ecc71ff"
"Traveller_004","3","Attraction","182.743","482.7495","300.0065","f39c12ff"
"Traveller_008","7","Travelling","189.4096","inf","inf","3498dbff"
"Traveller_009","8","Travelling","202.743","inf","inf","3498dbff"
"Traveller_010","9","Travelling","216.0763","266.0763","50.0","3498dbff"
"Traveller_007","6","Waiting","224.4096","482.7495","258.3398","2ecc71ff"
"Traveller_011","10","Travelling","229.4096","inf","inf","3498dbff"
"Traveller_012","11","Travelling","242.743","296.0763","53.3333","3498dbff"
"Traveller_013","12","Travelling","257.743","294.4096","36.6667","3498dbff"
"Traveller_010","9","Waiting","266.0763","784.4348","518.3585","2ecc71ff"
"Traveller_014","13","Travelling","271.0763","321.0794","50.0031","3498dbff"
"Traveller_015","14","Travelling","284.4096","334.4127","50.0031","3498dbff"
"Traveller_003","2","Travelling","289.4096","inf","inf","3498dbff"
"Traveller_003","2","Travelling","289.4096","324.4127","35.0031","3498dbff"
"Traveller_013","12","Waiting","294.4096","294.4096","0.0","2ecc71ff"
"Traveller_013","12","Attraction2","294.4096","414.4161","120.0065","f39c12ff"
"Traveller_012","11","Waiting","296.0763","296.0763","0.0","2ecc71ff"
"Traveller_012","11","Attraction3","296.0763","416.0828","120.0065","f39c12ff"
"Traveller_016","15","Travelling","297.743","312.746","15.0031","3498dbff"
"Traveller_017","16","Travelling","311.0794","inf","inf","3498dbff"
"Traveller_016","15","Waiting","312.746","416.0828","103.3368","2ecc71ff"
"Traveller_014","13","Waiting","321.0794","1086.1015","765.0221","2ecc71ff"
"Traveller_003","2","Waiting","324.4127","1386.1015","1061.6888","2ecc71ff"
"Traveller_018","17","Travelling","326.0794","362.7495","36.6701","3498dbff"
"Traveller_015","14","Waiting","334.4127","1686.1015","1351.6888","2ecc71ff"
"Traveller_019","18","Travelling","339.4127","389.4161","50.0034","3498dbff"
"Traveller_020","19","Travelling","354.4161","369.4161","15.0","3498dbff"
"Traveller_018","17","Waiting","362.7495","414.4161","51.6667","2ecc71ff"
"Traveller_020","19","Waiting","369.4161","536.0828","166.6667","2ecc71ff"
"Traveller_019","18","Waiting","389.4161","1986.1015","1596.6853","2ecc71ff"
"Traveller_013","12","Travelling","414.4161","inf","inf","3498dbff"
"Traveller_013","12","Travelling","414.4161","432.7495","18.3333","3498dbff"
"Traveller_018","17","Attraction2","414.4161","534.4161","120.0","f39c12ff"
"Traveller_012","11","Travelling","416.0828","inf","inf","3498dbff"
"Traveller_012","11","Travelling","416.0828","436.0828","20.0","3498dbff"
"Traveller_016","15","Attraction3","416.0828","536.0828","120.0","f39c12ff"
"Traveller_013","12","Waiting","432.7495","657.7495","225.0","2ecc71ff"
"Traveller_012","11","Waiting","436.0828","534.4161","98.3333","2ecc71ff"
"Traveller_004","3","Travelling","482.7495","inf","inf","3498dbff"
"Traveller_004","3","Travelling","482.7495","509.4161","26.6667","3498dbff"
"Traveller_007","6","Attraction","482.7495","784.4348","301.6853","f39c12ff"
"Traveller_004","3","Waiting","509.4161","656.0828","146.6667","2ecc71ff"
"Traveller_018","17","Travelling","534.4161","inf","inf","3498dbff"
"Traveller_018","17","Travelling","534.4161","557.7495","23.3333","3498dbff"
"Traveller_012","11","Attraction2","534.4161","656.0828","121.6667","f39c12ff"
"Traveller_016","15","Travelling","536.0828","inf","inf","3498dbff"
"Traveller_016","15","Travelling","536.0828","572.7495","36.6667","3498dbff"
"Traveller_020","19","Attraction3","536.0828","657.7495","121.6667","f39c12ff"
"Traveller_018","17","Waiting","557.7495","inf","inf","2ecc71ff"
"Traveller_016","15","Waiting","572.7495","inf","inf","2ecc71ff"
"Traveller_012","11","Travelling","656.0828","inf","inf","3498dbff"
"Traveller_012","11","Travelling","656.0828","679.4161","23.3333","3498dbff"
"Traveller_004","3","Attraction2","656.0828","777.7495","121.6667","f39c12ff"
"Traveller_020","19","Travelling","657.7495","inf","inf","3498dbff"
"Traveller_020","19","Travelling","657.7495","694.4161","36.6667","3498dbff"
"Traveller_013","12","Attraction3","657.7495","779.4161","121.6667","f39c12ff"
"Traveller_012","11","Waiting","679.4161","inf","inf","2ecc71ff"
"Traveller_020","19","Waiting","694.4161","inf","inf","2ecc71ff"
"Traveller_004","3","Travelling","777.7495","inf","inf","3498dbff"
"Traveller_004","3","Travelling","777.7495","797.7681","20.0187","3498dbff"
"Traveller_013","12","Travelling","779.4161","inf","inf","3498dbff"
"Traveller_013","12","Travelling","779.4161","816.1015","36.6853","3498dbff"
"Traveller_007","6","Travelling","784.4348","inf","inf","3498dbff"
"Traveller_007","6","Travelling","784.4348","824.4348","40.0","3498dbff"
"Traveller_010","9","Attraction","784.4348","1086.1015","301.6667","f39c12ff"
"Traveller_004","3","Waiting","797.7681","inf","inf","2ecc71ff"
"Traveller_013","12","Waiting","816.1015","inf","inf","2ecc71ff"
"Traveller_007","6","Waiting","824.4348","824.4348","0.0","2ecc71ff"
"Traveller_007","6","Attraction3","824.4348","946.1015","121.6667","f39c12ff"
"Traveller_007","6","Travelling","946.1015","inf","inf","3498dbff"
"Traveller_007","6","Travelling","946.1015","981.1015","35.0","3498dbff"
"Traveller_007","6","Waiting","981.1015","inf","inf","2ecc71ff"
"Traveller_010","9","Travelling","1086.1015","inf","inf","3498dbff"
"Traveller_010","9","Travelling","1086.1015","1126.1015","40.0","3498dbff"
"Traveller_014","13","Attraction","1086.1015","1386.1015","300.0","f39c12ff"
"Traveller_010","9","Waiting","1126.1015","1126.1015","0.0","2ecc71ff"
"Traveller_010","9","Attraction3","1126.1015","1246.1015","120.0","f39c12ff"
"Traveller_010","9","Travelling","1246.1015","inf","inf","3498dbff"
"Traveller_010","9","Travelling","1246.1015","1264.4348","18.3333","3498dbff"
"Traveller_010","9","Waiting","1264.4348","1264.4348","0.0","2ecc71ff"
"Traveller_010","9","Attraction2","1264.4348","1384.4348","120.0","f39c12ff"
"Traveller_010","9","Travelling","1384.4348","inf","inf","3498dbff"
"Traveller_010","9","Travelling","1384.4348","1401.1015","16.6667","3498dbff"
"Traveller_014","13","Travelling","1386.1015","inf","inf","3498dbff"
"Traveller_014","13","Travelling","1386.1015","1426.1015","40.0","3498dbff"
"Traveller_003","2","Attraction","1386.1015","1686.1015","300.0","f39c12ff"
"Traveller_010","9","Waiting","1401.1015","1401.1015","0.0","2ecc71ff"
"Traveller_010","9","Attraction3","1401.1015","1521.1015","120.0","f39c12ff"
"Traveller_014","13","Waiting","1426.1015","1521.1015","95.0","2ecc71ff"
"Traveller_010","9","Travelling","1521.1015","inf","inf","3498dbff"
"Traveller_010","9","Travelling","1521.1015","1557.7681","36.6667","3498dbff"
"Traveller_014","13","Attraction3","1521.1015","1641.1015","120.0","f39c12ff"
"Traveller_010","9","Waiting","1557.7681","inf","inf","2ecc71ff"
"Traveller_014","13","Travelling","1641.1015","inf","inf","3498dbff"
"Traveller_014","13","Travelling","1641.1015","1676.1015","35.0","3498dbff"
"Traveller_014","13","Waiting","1676.1015","inf","inf","2ecc71ff"
"Traveller_003","2","Travelling","1686.1015","inf","inf","3498dbff"
"Traveller_003","2","Travelling","1686.1015","1711.1015","25.0","3498dbff"
"Traveller_015","14","Attraction","1686.1015","1986.1015","300.0","f39c12ff"
"Traveller_003","2","Waiting","1711.1015","1711.1015","0.0","2ecc71ff"
"Traveller_003","2","Attraction2","1711.1015","1831.1015","120.0","f39c12ff"
"Traveller_003","2","Travelling","1831.1015","inf","inf","3498dbff"
"Traveller_003","2","Travelling","1831.1015","1851.1015","20.0","3498dbff"
"Traveller_003","2","Waiting","1851.1015","inf","inf","2ecc71ff"
"Traveller_015","14","Travelling","1986.1015","inf","inf","3498dbff"
"Traveller_015","14","Travelling","1986.1015","2012.7681","26.6667","3498dbff"
"Traveller_019","18","Attraction","1986.1015","inf","inf","f39c12ff"
"Traveller_015","14","Waiting","2012.7681","2012.7681","0.0","2ecc71ff"
"Traveller_015","14","Attraction2","2012.7681","inf","inf","f39c12ff"
